що
бачивши
двох
овощ
пробував
пійшли
велика
геть
їсть
письменники
два
маємо
заповідь
смерти
тисяч
ні
моїх
господї
вельми
почав
знає
чоловікові
озвав
дванайцять
пять
вічне
пророк
своїй
коло
инших
хоче
твоя
наш
наші
ученикам
пан
любить
учителю
силу
прийняв
божа
нами
правду
скаже
твоїм
пити
своїми
ввійшов
кров
таке
которі
ангелів
увірували
ввесь
казати
йди
віки
волю
руку
приступивши
города
тобою
мария
богові
голосом
котрим
знайшли
казав
жити
небесне
море
хлїб
душу
инше
жінки
архиєреї
наших
жидів
ввійшовши
води
словом
царства
чим
сих
твоїх
отче
слава
серце
другого
мало
знайшов
звелїв
другий
лице
написано
дїти
прийду
гріха
господень
народом
вийшли
поки
меть
такі
ваша
увійшов
увесь
силою
дано
дати
їли
кожному
зробили
також
роблю
мов
божі
завсїди
якова
гріхів
ірод
сьвітї
зійшов
сьвіту
знали
апостолів
ангела
стали
наперед
говорив
мусить
господеві
господнє
котру
котре
років
покликав
зробити
дві
одежі
мою
настав
впокій
звідкіля
петра
одному
чашу
моєму
маєш
сієї
усїма
ніж
дає
робіть
огонь
побачив
дам
годить
одна
дар
нею
жінкою
яка
меш
витайте
слухати
більший
чоловічого
пійшовши
ісусом
шукали
чому
велику
роду
вірі
дорогу
овощу
велике
навчаючи
своєю
вашу
бачити
симон
приймає
иншого
явив
божим
віку
стояли
знайшовши
озвавсь
покликавши
можна
тіла
спасенне
мужі
всякому
нашому
вірує
йде
прийшла
вставши
ночі
доброго
галилеї
симона
звідтіля
блаженні
станеть
одну
уже
добро
сила
судити
бік
дивувались
дні
такого
питали
єрусалиму
ознаки
синів
камінь
сили
днїв
покликнув
законом
нього
авраам
юдеї
своєму
всяку
ангели
людьми
лихе
земля
йти
саме
надто
робите
пророки
сини
тієї
такий
двоє
прийме
отцем
погане
промовляв
стояв
знати
слуг
народові
рук
близько
волї
вірували
опісля
конець
справді
усїм
куди
нашим
прийнявши
колись
пізнали
діла
часть
любі
будучи
праведний
пророка
вмер
потім
глаголати
човен
уста
сказано
бачить
можете
якою
хлїба
робили
біси
господі
ніг
инший
сказати
слухає
суботу
вибрав
яке
мавши
знаєш
дітей
положив
крові
написав
почину
небесах
жили
ніч
любови
справдилось
узяв
звати
всій
сїв
серцем
користь
служити
самого
таких
добрий
гори
кажу
прийдуть
кругом
мертві
увійти
столом
ніколи
первий
яку
поганам
душі
приповість
нікому
передав
робив
осторонь
божої
всїм
який
побачите
вбити
говорили
вік
сьвітла
страх
благаю
божому
сьвідченнє
роблячи
честь
скоро
хлопятко
чути
чинити
сорок
уст
божих
бере
гору
школах
навчав
двері
воля
сьогоднї
лиця
каменя
чудеса
тяжко
сину
іди
жертви
давидів
мир
всяке
іде
семи
ілия
буду
ввійти
одним
скажи
хочете
поприходили
старші
воскресення
правицї
місця
вічні
сьвято
трохи
міг
великого
узявши
тими
нїщо
воскресив
будете
уставши
підняв
гнїва
батьки
чоловіки
пославшого
тїлу
знають
усього
писаннє
дїл
божою
христом
поганами
благодати
благодаттю
христового
праведність
тимже
юда
покаяння
водою
сим
галилею
ходив
дай
роблять
хочеш
ходити
нового
старших
жінок
думки
сатана
сім
духів
моря
дивлячись
зрозуміли
чотири
кажете
спасти
десять
робиш
дїло
нинї
страху
проповідував
явно
моєї
ходить
назавтра
діло
множество
словами
заповіді
умер
тілу
жидам
любові
обітування
пишу
кровю
царя
послав
стала
взяв
встав
городі
батько
дерева
ув
твоєю
почув
при
правдї
царстві
господом
лихого
нагороду
славі
мем
обернувшись
давати
родить
недужих
ученик
ійдїть
думаєте
нове
вівцї
филип
сїй
темниці
вітер
впокою
йшов
почали
друга
бачите
темницю
сюди
питав
терпіти
третього
скажіть
вірувати
живе
вірний
иншому
слугу
народи
ввійшли
просив
гробу
всього
молив
спитав
апостоли
мала
усіх
година
радість
спасення
котра
йду
прийняти
голосу
імени
число
варнава
яков
пильно
візьми
матір
дїтей
проповідуючи
диявол
приступили
перелюб
рука
вашим
от
доволї
кожного
приходять
слухав
йшли
вечір
сцїлив
оддалеки
благали
гледїть
ухо
христові
лицем
уші
коди
суботи
сонце
слухаючи
просити
голову
стільки
шукав
науки
другі
слухайте
пробували
нїколи
властю
писання
хотів
архиєрей
усіма
раду
власти
які
многими
упав
розум
третя
сповнились
бозї
будьте
много
радощами
промовивши
вашої
любив
обрізання
благовістя
божій
наше
члени
зьвіра
давид
родів
вернулись
шукати
вся
огнем
виходить
всїй
чували
перелюбу
чинить
бувайте
темрява
тїлом
душа
великі
будинок
сотник
голови
увійшли
учитель
дочка
кінця
матери
слідом
знайде
грядущий
рукою
суду
фарисеїв
небесного
взяли
серед
хвалу
давав
скажемо
останок
путь
правдою
воскресеннє
вгору
престолом
милость
сидїв
мимо
котрої
нїкого
створив
первого
ходили
моїй
показав
силї
книгу
дякую
усякого
слові
прославив
стоїть
судить
хоронить
пробуває
пробувати
надії
храм
покликаний
тимотей
служеннє
праведности
вірним
церквам
прізвище
йосиф
жидівський
плач
виходили
авраамові
лежить
дерево
днів
зоставив
проповідувати
добрі
прийди
ближнього
остерегайтесь
лицеміри
твоєму
приступив
недуги
дорогою
серцях
вино
лякайтесь
ходять
дивитись
довідавшись
любий
добру
друге
шукає
устав
прибули
смертю
устами
узяти
кодло
ознака
чоловіче
хрест
полякались
попереду
чом
земні
поставив
еси
дорозї
вибраних
наукою
дусї
сином
батьків
нарід
дивись
славою
відказали
пасху
прийміть
завіту
слугами
страхом
сповнив
сидячого
твоєї
благословив
кажеш
просили
мовами
виділи
премудрість
хочуть
дороги
вашому
чоловіків
напиши
правдиве
живого
правда
сьвідкував
писав
полюбив
увірував
сьвідкую
вічнього
любили
азиї
книги
апостол
сором
попечатаних
давида
письменників
знайдете
дари
туди
жив
ісаїя
пустиню
покинувши
морю
темряві
зроблю
око
пекло
отцеві
любити
риби
імям
впав
пійду
синові
слухають
учениками
можуть
вина
тій
словес
царів
спасеть
ізраїлевих
навчати
бачять
слїпий
серцї
шукаючи
знаходить
візьметь
пане
скажу
муки
праведні
филипа
хлїбів
поглянувши
ночи
човна
почавши
далеко
марно
ознак
шість
воду
діти
сьвітові
посеред
благав
дванайцяти
правиці
очей
благословен
піславши
правдивий
спільниками
місці
знайте
зоставить
пильнуйте
дали
родив
однієї
зветь
повели
хулили
шукаєте
всяка
хрестив
днями
вийди
морі
всю
всією
всім
днях
котрими
видїти
даю
мойсея
післали
написане
поглянув
сьвідкує
дім
крови
христове
савло
кесарию
волею
совість
надїю
гнїв
витають
христів
наша
грішить
голова
престола
матїр
христу
поклонились
иншим
встань
ійти
пустині
господню
думайте
спокусу
ангелам
божими
горі
перейде
блазнить
престол
люби
ворогів
віддасть
будь
молитись
лукавого
яким
така
серединї
дивував
настала
устань
помилуй
слїпі
біса
дванайцятьох
срібла
достоєн
меч
погубить
тростину
рід
пє
любе
читали
законї
приповістями
тайни
стане
зробить
чести
сповістили
села
ідучи
сильний
їдять
умре
симоне
змогли
данину
царі
всяк
винен
сердець
виноградник
думали
дом
пора
весїллє
зібрались
душею
нїй
повні
міру
явить
великою
дверима
которий
другому
других
сьвяті
чинили
моїми
півень
тричі
молячись
нині
хулу
вінець
гріб
хутко
ходи
зло
схотів
слухали
пішли
вийти
руками
деяких
почули
вивів
прозрів
довго
осуд
вини
обняв
явивсь
домом
угору
завіт
котрій
жертву
правді
ставши
званий
вкупі
тілом
великому
смутку
жидами
жидовин
живу
видить
видїли
служить
люблю
ісусове
домує
усякою
думав
живі
антиохию
тисячник
мовою
благодаті
багацтво
горю
образ
агнця
чотирьох
змій
юду
вавилон
авраама
перекладом
повелїв
архиєреїв
вислухавши
поперед
золото
замість
серці
зможе
недостоєн
самим
відкрив
стоячи
прославляли
небесному
причини
останнього
ненавидить
ніякої
молїть
пусте
чоловічому
сидів
милости
старшина
краю
городах
селах
ходячи
упокій
сьвідкуваннє
дбайте
впаде
волоссє
голові
поставити
хреста
встають
благовістє
диявола
покаялись
стались
вашими
насїннє
добрих
розуму
оддав
ламав
сьогодні
виданий
річ
чоловіку
талантів
відпустив
чоловіком
дозволив
покинув
кричали
молитви
ходімо
кесареві
вмре
законі
скажуть
слугою
церква
неправди
небесні
вірен
архиєрея
зробила
спомин
зрадить
вмерти
сьвідчення
воріт
поле
ізраїля
сьвідкують
хотіли
видали
положили
царю
магдалина
дверей
живий
небеса
віруйте
ато
бурдюки
постала
настановив
могли
приносять
часто
розумі
проповідували
дайте
хоронити
село
сьвятими
здолїли
привели
духові
мертвий
майте
виходив
осля
кидали
мира
хтось
жидівського
колїна
служення
сьвяте
спасеннє
промовили
роки
надію
вважав
спас
воскрес
знайдено
видїв
ніщо
трох
повна
думає
недостаток
незабаром
власті
темряви
обітуваннє
пізнав
жати
сьвята
обрізаннє
нову
самих
смуток
молю
писати
иншими
отцїв
господнього
вірних
ананїя
найперш
окрім
погибель
македонию
фест
покликані
христовим
самий
премудрости
любовю
совісти
благовісте
чужою
надїї
спільність
бідах
дїточки
тілько
побідить
животних
війну
родивсь
хотячи
хотїв
потай
відпустити
зібравши
якого
принесіть
сторони
пустинї
хрестились
обувя
хрестити
часом
служили
побачили
званого
петром
ідїть
всякі
побачять
синами
усяке
радуйтесь
сіль
сповнить
небом
люблять
звершений
виду
птаство
завтра
братові
приторкнувсь
капернаум
зубів
погрозив
праведних
жених
жениха
приступила
ізвідтіля
нїмий
жнива
наказав
золота
видавати
бити
промовляти
чуєте
погубити
визнавати
приймав
чують
стояти
усякий
простить
озвались
хочемо
ознаку
бажаючи
очима
зрозуміти
приповістї
усяким
входить
вважайте
говорять
ангелами
дїлам
окреме
молитвою
житте
здаєть
троє
утроби
хоронив
перві
останнї
право
перші
воскресне
сидїли
віттє
здивувались
молитві
ісусові
вбили
принесли
котора
перва
сиди
ділам
сидить
десятину
середину
верх
чистий
всякої
беззаконня
приходу
приходити
статись
горя
сьвятому
хати
прихід
пили
пору
усім
радощі
вбогих
зрадник
пройшовши
ізнов
настиг
вараву
жереб
згадали
ійшли
зробивши
дана
хрещеннє
школї
школи
шукають
їв
тайну
вишнього
кинув
ніякого
пробувайте
поплили
клали
городи
сходять
їжу
бачу
вигнали
ввійде
можемо
кличе
любого
ійшов
воїни
сьвідкували
хотівши
пори
царювати
господня
кесаря
передо
слїпим
наставниче
пророкам
лихих
послані
подобні
терпінню
ногах
кожний
гордує
чисте
покажу
суддя
знаходжу
подобне
первому
авраамове
життю
нікого
явитись
прибувши
сьвідкувати
пославший
віруєш
прийшло
правдиві
малий
радуюсь
духу
отцї
думати
службу
зла
видів
думаю
однодушне
полічено
книзі
клятьбою
престолі
душ
привести
дїлами
церквах
молить
видїннє
вилив
перестану
лїт
сьвідок
природі
печать
будемо
сьвят
міри
терпіннє
хвалить
марна
хвалитись
тайна
чину
приняв
давидового
ісаака
спасе
поклонитись
йдїть
пійти
зверху
припавши
шляхом
хреститель
кожне
носити
кинь
йдучи
чисті
сповнити
жертівнї
вкинуто
криво
зовсім
просить
митники
милостиню
таким
прощати
небесний
провин
он
ногами
пророкували
каменї
йшло
навіть
плисти
спаси
водї
пастухи
таку
грішників
старшини
можу
відкрились
явилось
тома
дармо
легше
пана
ученика
кажіть
візьме
пійде
скінчив
посилаю
хрестителя
найбільше
премудрих
положу
живуть
сестра
сотеро
побачити
чує
розуміє
пшеницю
кукіль
подібне
квасу
насінне
скреготаннє
обіцяв
клятьби
поховали
хлїби
кошів
переказу
рекли
перейшовши
зійшовши
дорозі
тисячі
прибув
міркували
постерігши
кесариї
блажен
грядущого
біла
зробимо
вподобав
почасту
привів
зерно
звідсіля
чужих
оці
якої
віддати
товариш
слїд
пребагато
благий
роби
малку
престолї
шестої
девятої
виноградника
годину
били
князї
розбійників
приходили
людські
ійду
відкинули
воли
візьміть
думкою
підніжком
держати
золотом
повинні
праведного
місцях
почин
небесних
злодій
назустріч
постав
йдіть
готові
вбогим
трийцять
срібняків
їжте
далїй
зоставивши
наложили
меча
іще
сьвідків
петрові
згадав
ігемон
которого
розпято
стерегли
зійди
дивились
служачи
гробі
зустрів
ісусе
сонця
оставляють
шо
постіль
субота
школу
мовчали
позирнувши
духи
сходить
впало
сходив
разом
зрозумієте
яв
кайдани
вийшла
ту
дивувавсь
вівці
звелів
закричали
приносити
середини
лихі
родом
дитина
метесь
господові
боялись
споглянувши
поняли
приймуть
недостатку
приклад
народі
мусь
вдруге
положено
промовити
язик
ізраїлеві
рік
благовіствував
роздав
будеш
вдовиць
бажав
другої
апостолами
другу
дяка
вернувшись
фарисей
доброму
тім
давнього
хатї
сцїлення
вечерю
вечері
ожив
багатий
сто
вірні
лазар
обернеть
схопити
пахощі
сими
муж
рави
вином
учителем
поблизу
вода
їжа
нездужав
суджу
шукаю
двайцять
їжи
навчивсь
зводить
науку
невільник
діл
обернулись
части
хоронили
противить
мужів
підійме
речі
віруючих
дамаску
савле
йоппиї
учинків
антиохиї
таки
відчинив
зводив
вважаючи
македониї
імена
єфес
єфесї
радістю
корабель
обітницю
оправданнє
угодити
агриппо
молитвах
духовне
непокірних
дїлї
явилась
похвалу
хвалимось
устах
благовістю
віка
всякій
придбати
пророцтва
праведно
дїєть
орудує
благаємо
похвала
наслїддя
вище
подобає
панів
спасителя
сьвітлї
скілько
вод
ангелові
животне
рогів
вродить
ірода
сходу
родити
снї
єгипет
кореня
охреститись
хреститись
повів
глаголючого
наближилось
біснуватих
заповідей
жертівнею
лист
оженить
головою
праву
права
просите
скарб
збирають
лиха
давайте
дорога
веде
вітри
ізраїлї
темряву
вірував
одужав
важив
гурт
посідали
грішниками
недужим
постити
спасла
слїпих
вигнав
євангелию
пастиря
беріть
зійде
порох
усі
доволі
послати
малих
криві
одягненого
торгу
чудес
досі
сцїляти
слїпого
розмовляв
сатану
виганяю
розсипав
скарбу
виносить
словам
йони
вийде
кодлу
ушима
горчицї
сестри
матері
повних
сторожу
околиці
поважай
усяка
жінко
кілька
одні
мойсейові
ілиї
хмари
руцї
огняне
сїмдесять
цареві
простив
денариїв
починї
заповідї
кріз
доми
сестер
робітників
розпяли
зможете
лївицї
викуп
осанна
продавали
смоківниця
збудував
наслїддє
убили
ідіть
повбивали
звязавши
воскресенню
авраамів
чий
питати
принизить
церквою
середині
зібрати
знак
трівожтесь
голоднеча
трус
назад
довелось
роди
хмарах
перейдуть
ковчег
ійде
многим
оддати
основання
двір
зрозумівши
стада
припав
чаша
сплячих
промовляючи
радуй
відтяв
киями
знадвору
відрік
говориш
згрішив
зависть
праведника
побивши
коліна
старшими
сповнивши
спасати
зітхнув
чистою
стерегти
вид
радуйте
бісів
несучи
четверо
лежав
йоанові
старого
чоловічим
нечистого
багацтва
слухаєте
відповів
упокоєм
вмерла
сьвідкуванне
посходились
минуло
приходив
чаш
батькові
впала
язика
оддавши
розумієте
приводять
вбють
третій
укупі
розмовляли
можеш
сївши
дитину
написати
приносили
ва
витаниї
увійшовши
народів
насіннє
насїння
книзї
посьвяти
вороги
молять
сівши
вдовиця
прожиток
вести
родителїв
зорі
слугам
пасха
сходились
йдучого
плакати
розпни
претор
знявши
найперше
мариї
віруючим
всюди
сьвященик
господем
стою
зоставсь
слову
прославляючи
ізраїлїв
юдею
обявив
господньому
звелено
вивівши
спокуси
вернувсь
місяців
пятьдесять
миром
проходив
розуміли
бій
корять
рани
домують
піднявши
лукавства
пішлю
вашою
поясницї
скінчить
буває
сьвітить
мин
землею
певен
важким
часи
новий
готов
відступив
нїякої
сьвідки
вірують
агнець
підступу
говоримо
віруєте
погиб
осудив
добродїю
зостаєть
сказавши
перелюбі
гріхах
бачимо
журить
любиш
сестру
приносить
промовляю
устає
побачу
воїнів
написані
братами
приняти
нашими
зотлїння
обітниця
оддали
коритись
спаса
вивести
єленян
доброї
зруйнує
суддею
дамаск
мур
страсї
варнаву
мечем
сьвідкуючи
посьвят
посланнє
вселенну
тимотея
мусимо
усюди
призначив
аполос
пробули
навчає
тисячника
замок
гонив
вязник
третю
добра
змагання
корабля
зависти
хулять
гріхом
згрішили
необрізанню
послух
духовний
дусі
наслїдники
якби
спотикання
звершена
вважає
нашу
витає
послїдувателями
жінцї
храмі
вільний
повня
пророкує
член
слів
розуміннєм
робом
сїєть
впованнє
доказ
глаголемо
вседержитель
церков
сїе
терпите
трьох
блаженний
малим
мелхиседековому
погибіль
любимо
сьвічників
терпиливість
гострий
білий
затрубив
зьвір
голов
серп
храму
соломон
марию
утробі
зі
гірша
скарби
убити
плаче
покликуючого
хрещу
покаянне
голуб
хлїбом
руках
видано
сидять
андрея
невід
човні
неводи
сцїляючи
недуг
сцїляв
вбогі
жадні
гонити
нагорода
гонили
бували
зостав
чини
праве
більша
зможеш
любіть
нагороди
прилюдно
істинно
міль
злодії
панам
ненавидіти
журіть
життєм
луччі
піч
шукайте
судите
мірою
ока
гадюку
тернини
лихий
уподоблю
камені
очистити
благаючи
дома
стелю
такої
заходу
сотника
покинула
приведено
повиганяв
дозволь
гробів
стадо
повтікали
бодрись
митниками
сумувати
візьмуть
старі
міхи
приторкнулась
сама
жниво
митник
торбини
городів
учителя
вельзевулом
ждати
часів
дітям
плакали
давно
вподобалось
субітнього
здорова
ким
кодлом
осудять
проповіді
встане
премудрості
нечистий
останнє
гірше
стоять
край
сїяч
упало
каменистому
дало
трийцятеро
розуміють
настане
омана
приніс
твоїй
иншу
настання
купив
беріг
посуд
старе
вкинув
сиділи
стяв
поплив
рибі
траві
назбирали
відпустивши
заговорив
кричав
послали
переказ
заповідав
прорік
сквернить
чувши
гряниць
відпусти
овечок
взяти
здорові
жаль
пяти
збудую
ворота
одежа
хмара
схотіли
приведіть
самоті
постом
думаєш
ійди
поблазнь
вічний
девятьдесять
знайти
послухає
довг
відійшовши
спокушуючи
иншою
дїток
звеш
сьвідкуй
молодець
одійшов
достатки
судячи
поля
останні
друже
добром
просячи
хрещеннєм
сидячи
вишинах
да
покликували
смоківницю
ній
листе
віруючи
дитино
виноградарів
овощі
будівничі
приповісти
наготовив
достойні
мовчав
спокутуєте
кесареве
садукеї
ісааків
яковів
живих
бенкетах
витання
нести
входять
кленеть
чаші
упала
єрусалиме
показати
войни
читав
вертаєть
буди
харч
поставить
долю
положить
узяли
півночі
прикликав
придбав
принїс
сїяв
срібло
пійдуть
каяфи
підступом
поставили
дванайцятьма
запіє
відречеш
врочище
грішникам
наближуєть
архиєрейського
мечами
щодня
брали
рада
заклинаю
вдарив
дворі
запіяв
вернув
архиереї
класти
вязника
судищі
випустив
зняли
поділили
шати
визволить
побачимо
покликнувши
скелї
пилата
гряде
розвязати
спокушуваний
мовчи
зібрав
виганяв
впавши
гледи
оставляти
годилось
стань
посередині
симонові
хулити
приймають
човни
нечистому
каміннєм
сказала
родини
навчали
пізнавши
виходять
блуд
дочки
постелї
гряницї
приторкнув
можливе
вірую
нічим
руці
вмирає
ного
убогим
стати
покликали
скинувши
смокви
спитаю
тай
відослали
угла
перший
насіння
огняні
науцї
гроші
достатку
хату
полї
місяць
давши
названий
убийство
розняли
тижня
дуже
білу
сидячим
вознїс
захарія
єлисавета
лякай
мудрости
зміг
юдин
кляв
праведності
знаннє
росло
хвалячи
побожний
премудростю
розумом
четверовластником
побачить
йосифів
скінчивши
благовістити
слузї
симонову
грішний
покажи
очищеннє
положити
їсте
назвав
багатим
грішники
подобен
підвалини
друг
запросив
щось
слїзми
благовіствуючи
спасли
родителї
заповів
чую
оповідали
закрите
мертвим
ходїть
схоче
справдити
якийсь
священик
марта
подасть
князем
конче
вбивати
ключ
розуміння
відкриєть
більші
оттак
йдеш
жертвами
неправду
мушу
учеником
скінчити
тисячами
маєток
служу
лазаря
дякуючи
содома
терпить
вробив
навчаєш
повмирали
заміж
місяці
іти
справдитись
сталась
втрете
видав
вибраний
подаючи
приймаємо
справдї
пахощів
згадайте
явились
ділом
лїниві
нїби
хліб
радощів
хотїння
хрестить
кифа
подивись
жидівське
староста
небагато
никодим
князь
приймаєте
земне
постало
змаганнє
йдуть
покланялись
поклонять
звістить
зрозумів
відаючи
досї
сьвідченне
приймаючи
трава
вітру
схопили
останній
зняв
поставивши
грязиво
помазав
незгода
пастир
послухали
злодїй
кладу
умерти
місцї
короткий
оселю
зрадїли
приймете
віруємо
назорея
попадали
звичай
взято
звіщаючи
великої
удруге
перве
стоїте
імен
язики
ніби
пророкувати
твердо
судив
навчають
звелівши
докупи
старшину
сповнили
дереві
чотириста
служенню
громаду
повний
богів
видївши
охрестив
гониш
савла
брате
котрою
сповнилось
одважно
навернулись
зьвірі
погань
корнелий
пробув
кипр
увірувавши
постановив
післати
остров
утїшення
громада
сотворив
варнавою
ріжниця
заборонив
надія
звичаїв
приймати
саму
охотою
дбали
жертівню
жидовина
ахаї
судищем
лукавих
попрощавшись
хлопця
надумавсь
аби
усяку
павлові
роти
довідатись
римлянин
совісті
сего
винують
неправедних
агриппа
невірним
надїя
шкоди
острові
честю
похотях
усякої
судиш
благость
необрізаннє
дорогах
христову
осоромлює
померли
смертному
беззаконнє
ума
христової
ізраїль
бажаннє
корінь
відпали
даній
пророцтво
мірі
простоті
більшим
однаково
мудрі
осуджує
лихо
знання
вірного
великій
віків
будує
дорогого
навчились
терпимо
річей
якому
хмарі
спільники
небудь
користи
мови
більшу
земний
одягнутись
достойно
корились
моєю
тита
служенне
одягнувшись
явні
христова
просимо
згадуючи
всяким
збудуваннє
докору
посередник
благовістив
обітницї
обманює
наслїдниками
поклику
громади
коротко
небес
тьми
коріть
чоловікам
боротьбу
взір
участь
ділах
довготерпіннє
труд
впокоїлись
доброю
докоряй
держава
огня
відпочинок
зоветь
дощ
непорочного
золоту
мертва
премудрость
впали
жерела
пізнаємо
золотих
зовуть
сидячий
подібний
старцї
старцїв
пісню
сказало
подиви
кінь
агнцем
з'одягнені
громів
пятно
виссон
алилуя
авраамового
соломона
переселення
чотирнайцять
даси
дадуть
нїчим
витлеєм
відкривши
піднесли
вві
йосифові
насьміялись
назарет
приготовте
стежки
пояс
мед
йордані
достойний
каміння
самому
відказуючи
тав
злинув
забажав
вниз
об
показує
країні
покайтесь
болестї
чутка
всякими
муками
голодні
помилувані
знївечити
старосьвіцьким
братом
подай
членів
згинув
розвідний
розведеть
обітниці
лихому
благословляйте
моліть
гонять
любите
звершені
потайне
улицях
провини
ржа
темне
другим
їжі
ростуть
працюють
судїть
міряєте
порошину
оцї
просїть
відчинить
дїтям
вовки
вбудував
дощі
повідь
піску
руїна
очистись
проказа
розслаблений
мучить
одужає
авраамом
яковом
надвірню
самої
натовп
розбудили
погибаємо
злякались
кинувсь
розслабленого
мислї
лукаве
постїль
синове
одежини
наливають
витече
пропадуть
нові
ззаду
дочко
дівча
біснуватого
жалкував
иоан
проповідуйте
грошей
увійдете
вернеть
виходячи
суднього
городові
водити
старший
господаря
домах
здолїють
продають
відречусь
дочку
дванайцятьом
проповідують
приготовить
найменший
гукають
докоряти
тирі
розумних
одкрити
тягар
колоссє
зголоднїв
священики
обвинувати
яму
простягни
вповати
встоїть
виганяє
розділив
суддями
хула
будучому
пустий
одвіт
осудить
надворі
ото
зійшло
посохло
тернину
глаголеш
бажали
радостю
добрій
шістьдесятеро
ворог
ниві
обоє
подав
нова
приповістях
огняну
продав
господареві
отчинї
звязав
иоана
окрушин
примусив
ісаія
шанує
обидва
впадуть
живіт
послано
ізраїлевого
кинути
собаки
бажаєш
галилейського
сів
пробувають
голодних
рибу
ламаного
вранці
памятаєте
хлібів
фарисейської
ілию
йонин
сатано
високу
намети
устане
невірне
вільні
рот
нога
вкинутим
покине
заблудили
погрішить
зберуть
схотїв
завинив
сотню
слуго
товариша
помилував
розводитись
пригорнеть
жінками
женитись
скопцї
родились
містить
положивши
благим
багатому
пройти
покинули
престолах
денарию
одержите
поклич
первих
денария
архиєреям
видадуть
насьміхались
зеведеєвих
хрещеннем
хрещусь
сидіти
панують
першим
оливної
позаду
покликував
голуби
вертепом
скажете
иншої
господар
викопав
башту
виноградарям
від'їхав
виноградарі
посоромлять
дивне
упаде
запрошених
годоване
подивитись
вси
наставляєш
дивиш
покажіть
насїнне
третїй
семого
вів
подібна
торгах
пекла
нїм
даєте
здирства
уся
оставляєть
будівлю
зруйновано
поблазнять
гидоту
криші
мука
спасло
йміть
виходьте
пішле
чотирох
пильнував
розумний
лукавий
відлучить
розумні
перелік
таланти
злякавшись
маючому
немаючого
напоїли
нагий
темницї
найменших
радились
оця
іскариоцький
видати
приготовили
поблагословивши
оставленнє
плоду
винограднього
оливну
моливсь
справдились
розбійника
двору
живим
гірко
ранок
побачиш
срібняки
чуєш
рознятий
росте
плащ
кидаючись
черепове
оцту
кинувши
кинули
письменниками
розбійники
побігши
губку
оцтом
настромивши
поїв
яковова
остання
рознятого
побігли
навчено
хрестячи
прощенне
назарету
відчинились
сатани
нечистим
остав
наука
галилейській
йоаном
бісам
очистив
заказавши
відослав
принеси
звідусюди
спустили
ліжко
алфєєвого
праведників
постять
священикам
погубляти
прочувши
наготовити
приторкнутись
нечисті
виганяти
відпустять
синам
якими
осуду
морем
почують
посіяні
посудину
траву
посилає
такими
байдуже
вітрові
закричавши
свинї
повиходили
затрусившись
даний
знавши
справив
купимо
купи
наситились
бодріть
спасав
посуду
пророкував
подібного
опоганити
поганить
знайшла
слух
докорив
