a,31618985
n,15842669
e,14067850
i,11949339
r,8588815
u,8017059
t,7242503
d,6713235
k,6651495
m,6334181
l,6254608
s,5942875
g,5670946
h,4380577
p,4294003
b,4132647
o,3444158
y,2478651
j,1273553
c,997655
S,982476
P,891359
w,817476
M,738709
K,671760
A,656968
B,624238
T,516894
f,425723
I,425665
D,398477
C,345517
v,315303
R,298916
J,296466
L,289915
N,287357
H,248758
z,241801
G,198604
F,176638
E,157202
U,139614
O,131840
W,131400
V,101675
Y,77639
x,46609
Z,42558
q,33291
é,32470
Q,22551
á,16808
X,13835
í,11590
ü,10015
è,9568
ô,7854
ó,7612
š,7132
ا,6926
ö,6299
ə,6261
č,6034
ō,5756
ı,4797
ل,4517
ā,4125
ř,3764
ي,3749
ş,3440
ن,3440
و,3155
ر,3077
م,3048
ă,2911
ě,2886
â,2730
ž,2347
ä,2184
ç,2155
ú,2105
ø,2050
É,1997
ć,1983
ñ,1979
س,1895
ب,1822
ت,1707
ū,1678
د,1665
ň,1605
ý,1573
ș,1469
Ž,1421
ه,1412
ë,1398
ğ,1381
à,1347
Č,1340
ī,1294
а,1208
ã,1183
å,1162
ß,1142
ع,1111
Š,1110
ê,1047
Ú,1004
ك,994
ő,832
ة,831
ح,830
и,820
о,810
ف,786
ţ,772
ق,733
ج,731
Ş,711
ł,701
α,687
ľ,684
Á,676
н,656
е,640
Ç,629
æ,618
أ,617
с,598
р,586
ـ,571
ț,566
ο,538
ů,523
л,518
ˈ,506
ڤ,497
ς,495
Î,486
к,481
ï,472
т,458
ی,440
ش,427
ν,420
ρ,418
İ,413
в,406
Ə,402
ک,390
Ō,389
ー,388
Å,388
μ,383
đ,378
Ā,376
ڠ,375
τ,365
ì,364
ز,360
î,356
ン,342
λ,340
ď,336
の,330
ē,314
ε,313
ط,312
ص,310
ι,306
إ,303
خ,301
ś,299
ى,297
у,293
Ö,286
Đ,285
ː,282
σ,281
ĕ,280
ò,279
ร,277
ṇ,276
ń,275
д,267
м,264
ę,262
町,261
校,260
κ,256
π,253
า,252
י,250
Ø,247
ť,245
б,243
年,240
й,237
œ,237
ṣ,228
γ,224
大,221
Ü,220
ð,220
β,219
ṭ,217
я,211
Ś,209
र,203
ό,200
ḥ,193
ذ,189
一,189
ŏ,188
û,186
ث,184
ί,180
人,180
г,180
η,179
ù,178
学,177
ệ,176
ス,172
ו,171
น,168
ǎ,167
イ,167
中,166
ą,163
本,158
ы,156
Ř,154
ル,151
δ,151
ラ,151
ء,150
이,146
С,146
ь,146
ڬ,146
的,145
ト,141
เ,140
ก,139
υ,139
ض,139
ה,137
ω,137
غ,136
п,135
ม,135
چ,134
ר,133
ʻ,132
ɛ,132
อ,131
国,131
म,131
Ł,130
θ,128
ά,125
ư,124
市,124
ɪ,123
ッ,122
ง,121
い,120
φ,120
子,120
ч,120
ש,119
会,118
新,118
生,117
ế,115
教,115
天,114
ל,113
リ,111
з,111
ݢ,109
ย,108
न,107
ת,105
त,103
ʊ,103
ǔ,102
Р,102
日,102
ʿ,101
シ,101
آ,100
Ó,100
מ,99
な,99
ễ,98
க,98
ส,97
א,97
ḍ,97
स,97
き,96
ん,96
έ,96
ท,95
三,95
Ľ,95
ή,94
ク,94
व,94
Σ,92
タ,92
К,92
ơ,90
ล,90
カ,90
य,90
有,90
ż,90
õ,89
道,89
文,88
し,88
А,87
Æ,87
µ,87
长,87
사,86
山,85
た,85
क,85
พ,84
ग,84
х,84
ம,84
部,84
М,84
家,83
ɔ,83
民,83
시,81
金,81
ल,80
南,80
ப,80
ア,79
ộ,78
る,78
海,78
த,78
了,78
キ,78
ź,77
ạ,77
ц,76
上,76
리,76
ห,75
Б,75
レ,75
द,75
ṛ,74
Ḥ,74
ド,74
ர,74
ச,74
为,74
ɑ,73
月,73
グ,73
小,73
建,73
ว,72
ロ,72
王,72
ա,72
田,72
ш,72
ジ,72
和,71
ύ,71
아,71
ב,71
ﻟ,71
室,70
ئ,70
प,70
ד,69
成,69
ǐ,69
事,69
한,69
지,69
χ,68
华,68
在,68
り,68
ナ,68
گ,67
か,67
マ,67
ด,66
う,66
龍,66
ะ,66
В,65
대,65
は,65
ज,65
と,64
方,63
ニ,63
º,63
스,62
ɒ,62
四,62
ह,62
國,61
ŭ,61
П,61
ồ,61
に,61
董,61
ต,60
ע,60
ả,60
地,60
ﺎ,60
之,60
Ĥ,60
נ,59
コ,59
정,59
ố,59
ら,59
จ,58
บ,58
モ,58
র,58
도,58
ם,58
국,57
ʃ,57
東,57
ị,57
Ș,57
ж,56
て,56
Ä,55
라,55
プ,55
ظ,55
北,55
川,54
野,54
五,54
林,54
Г,54
і,54
神,53
社,53
法,53
チ,53
ன,53
Ţ,53
公,52
光,52
ち,52
愛,52
어,51
ŋ,51
ค,51
平,51
十,51
ɡ,51
育,51
ә,51
Ć,51
女,51
Ż,51
ま,51
ป,50
의,50
پ,50
高,50
ữ,50
っ,50
れ,49
二,49
デ,49
術,49
明,49
வ,49
间,49
श,49
心,49
ゃ,49
京,48
水,48
ʁ,48
ǒ,48
島,48
þ,48
代,48
э,48
ớ,48
花,47
太,47
ʒ,47
기,47
加,47
Н,47
주,47
Д,47
く,47
オ,47
六,47
テ,47
あ,47
פ,46
名,46
任,46
ム,46
美,46
バ,46
み,46
ﻪ,46
나,45
오,45
고,45
李,45
ח,45
ョ,45
白,44
ן,44
원,44
일,44
九,44
舍,44
由,44
ช,44
が,44
师,43
帝,43
行,43
ہ,43
다,43
ダ,43
ﺍ,43
공,42
Â,42
式,42
ব,42
Δ,42
ʲ,42
소,42
И,42
メ,42
ャ,42
也,42
ﻳ,42
인,41
Μ,41
ʾ,41
こ,41
무,41
青,41
サ,41
ビ,41
じ,41
恋,41
至,41
主,40
正,40
រ,40
ấ,40
空,40
장,40
立,40
ק,40
ய,40
ˌ,40
是,40
下,40
Í,40
해,39
西,39
미,39
エ,39
성,39
を,39
原,39
フ,39
时,39
ג,38
ɐ,38
ল,38
皇,38
ন,38
ṃ,38
요,38
ɾ,38
ﻣ,38
于,38
黄,38
ր,37
馬,37
전,37
ட,37
多,37
手,37
랑,37
가,37
ủ,37
Ď,37
第,37
ガ,37
ハ,37
及,37
ű,37
ס,36
Т,36
ώ,36
ն,36
理,36
선,36
区,36
木,36
ல,36
Π,36
ṅ,36
我,36
千,36
כ,35
트,35
安,35
書,35
ィ,35
문,35
当,35
조,35
Х,35
ブ,35
州,35
우,35
동,35
無,35
ﻠ,35
ボ,34
陈,34
ј,34
お,34
で,34
回,34
서,34
ė,34
비,34
け,34
城,34
О,34
ュ,34
에,33
ศ,33
パ,33
ζ,33
す,33
江,33
ầ,33
武,33
局,33
ウ,33
政,33
भ,33
김,33
春,33
ズ,33
ম,33
ა,33
ェ,33
ម,32
Κ,32
華,32
村,32
하,32
अ,32
자,32
ү,32
つ,32
ไ,32
ờ,32
真,32
员,32
士,32
不,32
螭,32
ი,32
ﺮ,32
제,31
座,31
朝,31
신,31
보,31
津,31
所,31
来,31
同,31
井,31
以,31
부,30
ξ,30
百,30
ἀ,30
門,30
物,30
ミ,30
ब,30
株,30
Λ,30
里,30
ⴰ,30
ﷲ,30
英,29
Л,29
工,29
ន,29
ध,29
字,29
ի,29
七,29
च,29
面,29
万,29
經,29
ứ,29
ۏ,29
府,29
ợ,29
長,29
外,29
清,29
数,29
课,29
記,28
漢,28
ত,28
台,28
য,28
元,28
八,28
世,28
ậ,28
化,28
力,28
ณ,28
Ṣ,28
え,28
福,28
夜,28
さ,28
ﻴ,28
ũ,27
火,27
玉,27
松,27
も,27
石,27
민,27
Ω,27
À,27
만,27
堂,27
ọ,27
坡,27
楼,27
君,27
Β,27
虯,27
ﻤ,27
แ,26
ṯ,26
ˠ,26
상,26
연,26
司,26
内,26
周,26
隊,26
구,26
全,26
ड,26
娘,26
動,26
汉,26
菜,26
班,26
位,26
职,26
ﺪ,26
語,25
ត,25
Γ,25
前,25
茶,25
后,25
군,25
波,25
ψ,25
吉,25
면,25
마,25
ピ,25
共,25
魔,25
歌,25
ソ,25
ण,25
少,25
ө,25
セ,25
ؤ,25
都,24
È,24
张,24
ʔ,24
수,24
শ,24
게,24
等,24
ʰ,24
合,24
马,24
Þ,24
צ,24
ベ,24
德,24
影,24
რ,24
Φ,24
ħ,24
办,24
Ð,24
ข,23
せ,23
প,23
ำ,23
土,23
与,23
영,23
利,23
Ч,23
세,23
