的,1397619
年,444330
在,416279
一,394184
中,378178
是,349483
有,307103
人,299494
大,291099
和,257552
以,226496
為,213330
国,208257
了,204468
不,190224
國,187552
为,183915
成,178009
地,174970
日,168487
上,161407
之,158861
月,157034
a,155591
e,154331
他,146606
出,140850
主,139906
其,137812
行,135859
用,133671
o,129505
而,128670
生,128280
民,127205
分,126735
作,126409
到,125637
部,125483
於,124810
法,121223
r,119661
家,118865
i,118216
方,115140
多,115126
政,114259
n,114049
学,113229
公,112499
同,109467
及,108866
斯,107709
可,106985
文,106275
被,105183
時,105117
後,104696
自,104163
于,103659
名,103088
子,102911
也,102592
由,102291
會,99578
等,98271
下,96535
要,96434
西,96305
最,96006
代,95722
第,95681
本,95427
南,93430
所,93341
學,93062
个,92949
t,92002
后,90015
l,89986
因,89480
與,88354
市,87326
此,87103
高,86501
立,84695
能,84576
定,84286
时,83773
北,83532
位,83522
新,83344
世,83259
前,82218
理,81596
化,81390
三,80439
物,79528
教,79308
s,78157
得,77286
但,77121
会,76782
外,76186
使,76013
個,76002
加,75964
建,75578
特,75204
期,75181
海,72796
全,72782
合,72367
度,71855
美,71470
性,71277
事,70811
發,70691
都,70469
者,70367
至,70162
通,70122
德,69838
天,69836
利,69797
山,69135
重,69077
工,68892
入,68832
任,68715
共,68510
二,67307
表,67261
面,66579
力,66243
相,65799
如,65574
发,65123
十,64472
道,64193
这,63942
次,63258
u,63232
來,62475
平,62334
h,61864
区,61689
制,61634
克,61448
式,61109
原,60704
對,60540
m,60395
小,59894
对,58532
量,58505
元,58434
王,58332
這,58119
里,57739
或,57669
军,57260
軍,57090
与,56981
明,56600
基,56353
並,55557
常,54476
来,54378
系,54264
州,53809
府,53540
治,53340
路,52834
拉,52800
就,52548
然,52478
正,52171
城,51536
台,51499
金,51461
區,51320
水,50882
院,50726
英,50636
起,50333
安,50274
c,49913
比,49880
些,49222
經,48652
提,48381
尔,48326
科,48156
改,48051
動,48028
开,47326
并,47160
四,46632
開,46308
界,46170
港,45945
當,45889
意,45725
過,45380
士,45360
A,45304
长,45055
经,45016
d,44895
現,44843
長,44463
东,44271
形,44163
S,44064
口,43915
程,43733
始,43507
接,42889
影,42712
向,42690
受,42670
電,42496
动,42130
数,41701
C,41685
族,41551
稱,41456
心,41311
过,41304
各,41273
戰,41194
史,40845
包,40692
布,40688
已,40421
間,40382
音,40364
现,40347
朝,40303
格,40274
反,40165
體,40079
内,40064
司,39688
目,39653
指,39644
太,39636
古,39467
內,39346
球,39341
交,39329
數,39304
將,39261
字,39190
展,39125
流,38982
首,38613
直,38328
林,38241
進,37839
機,37781
体,37728
进,37591
保,37572
更,37564
社,37464
尼,37429
東,36967
列,36811
称,36606
星,36417
战,35881
机,35866
色,35862
校,35848
种,35790
f,35710
爾,35598
持,35558
著,35284
阿,35282
间,35110
业,34924
命,34922
帝,34871
M,34820
空,34760
河,34460
統,34287
巴,34282
省,34247
品,34155
員,34131
集,34082
信,34011
種,33971
女,33800
五,33683
少,33579
江,33556
它,33504
香,33440
语,33364
P,33352
非,33287
将,33151
解,33108
即,32950
产,32774
管,32737
曾,32634
造,32273
只,32251
统,32229
兩,32195
言,32140
取,31923
官,31785
当,31599
業,31569
清,31401
演,31368
手,31342
神,31049
支,31045
电,30865
件,30776
米,30701
亚,30678
語,30642
灣,30640
亞,30485
员,30463
委,30452
型,30447
研,30245
則,30240
又,30207
京,30137
商,30081
近,29944
身,29872
關,29704
回,29655
義,29481
洲,29462
示,29399
情,29352
光,29247
g,29173
T,29066
活,29058
很,29020
武,28908
两,28895
括,28793
果,28739
馬,28719
宗,28620
場,28540
今,28422
设,28396
p,28223
B,28148
先,28065
派,28041
从,28040
马,27859
义,27856
县,27617
放,27602
I,27545
究,27443
D,27442
產,27436
们,27418
石,27413
总,27395
華,27333
無,27281
設,27182
器,27174
且,26957
实,26835
关,26698
議,26609
例,26591
土,26199
約,26115
联,26058
去,26056
白,26026
說,25952
總,25921
實,25745
聯,25703
們,25414
夫,25398
除,25366
認,25254
收,25249
波,25145
亦,25115
y,24965
李,24926
版,24785
從,24738
初,24583
皇,24580
